,cls 0,cls 1,cls 2,cls 3,cls 4,mean,model,type,n_DB
shhs2-202592,0.914049566,0,0,0.619642854,0,0.306738484,TinyUStaging,EEG+EOG,6
shhs1-203706,0.983498335,0.922666669,0.796116531,0.909667194,0.895140648,0.901417875,TinyUStaging,EEG+EOG,6
shhs1-200601,0.93113482,0.746411502,0.200000003,0.887878776,0.897196233,0.732524267,TinyUStaging,EEG+EOG,6
shhs1-202707,0.933125973,0.89679718,0.507692337,0.932996213,0.903553307,0.834833002,TinyUStaging,EEG+EOG,6
shhs1-200196,0.922535241,0.92413795,0.666666687,0.864678919,0.84799999,0.845203757,TinyUStaging,EEG+EOG,6
shhs2-201482,0.953714967,0,0.5,0.906048894,0,0.471952772,TinyUStaging,EEG+EOG,6
shhs2-201134,0.993975878,0.973214269,0.521739125,0.9118644,0.811320782,0.842422891,TinyUStaging,EEG+EOG,6
shhs1-204704,0.906976759,0.937901497,0.238095239,0.92957747,0.555555582,0.713621309,TinyUStaging,EEG+EOG,6
shhs1-203666,0.945794404,0.769230783,0.409090906,0.888446212,0.662162185,0.734944898,TinyUStaging,EEG+EOG,6
shhs1-204609,0.935483873,0.934782624,0,0.665537655,0,0.50716083,TinyUStaging,EEG+EOG,6
shhs1-202986,0.956369996,0.938875318,0.471698105,0.814814806,0.706976771,0.777746999,TinyUStaging,EEG+EOG,6
shhs1-204812,0.980615735,0.817460299,0.45161289,0.871181965,0.680412352,0.760256648,TinyUStaging,EEG+EOG,6
shhs1-203416,0.98031497,0.872340441,0.454545468,0.860215068,0.849056602,0.80329451,TinyUStaging,EEG+EOG,6
shhs1-200912,0.938511312,0.963157892,0.733333349,0.944920421,0.873239458,0.890632486,TinyUStaging,EEG+EOG,6
shhs2-205553,0.953955114,0.912181318,0.333333343,0.939303458,0.81300813,0.790356272,TinyUStaging,EEG+EOG,6
shhs1-205046,0.934624672,0.955223858,0.67567569,0.694323123,0.798598945,0.811689258,TinyUStaging,EEG+EOG,6
shhs1-204575,0.975177288,0.948509514,0.64864862,0.930288434,0.894915283,0.879507828,TinyUStaging,EEG+EOG,6
shhs1-205002,0.874493957,0.85768503,0.205882356,0.813714266,0.827763498,0.715907821,TinyUStaging,EEG+EOG,6
shhs1-201338,0.87969923,0.884910464,0.520547926,0.869340241,0.806779683,0.792255509,TinyUStaging,EEG+EOG,6
shhs1-205229,0.957328379,0.930069923,0.25,0.882051289,0.891258001,0.782141519,TinyUStaging,EEG+EOG,6
shhs2-204117,0.965269446,0.874251485,0.53191489,0.916326523,0.726114631,0.802775395,TinyUStaging,EEG+EOG,6
shhs1-204370,0.962686539,0.943283558,0.602150559,0.935822666,0,0.688788664,TinyUStaging,EEG+EOG,6
shhs1-204571,0.664900661,0.633204639,0.132596686,0.711562872,0.535714269,0.535595825,TinyUStaging,EEG+EOG,6
shhs2-203047,0.949740052,0.88319087,0.432835817,0.848585665,0.117647059,0.646399893,TinyUStaging,EEG+EOG,6
shhs1-201443,0.956772327,0.913043499,0,0.831024945,0.375,0.615168154,TinyUStaging,EEG+EOG,6
shhs1-201728,0.935201406,0.725490212,0.444444448,0.832565308,0.880733967,0.763687068,TinyUStaging,EEG+EOG,6
shhs1-200668,0.627575278,0,0,0.800868928,,0.357111052,TinyUStaging,EEG+EOG,6
shhs1-203141,0.946727574,0.933962286,0.526315808,0.920415223,0.957983196,0.857080817,TinyUStaging,EEG+EOG,6
shhs1-203067,0.944858432,0.947368443,0.421052635,0.859791398,0.396551728,0.713924527,TinyUStaging,EEG+EOG,6
shhs1-200684,0.978003383,0.964577675,0.611111104,0.93154037,0.865030646,0.870052636,TinyUStaging,EEG+EOG,6
shhs1-200135,0.973333359,0.907407403,0.333333343,0.832328081,0.56684494,0.722649425,TinyUStaging,EEG+EOG,6
shhs1-201534,0.858611822,0.860335171,0.238805965,0.879781425,0.783505142,0.724207905,TinyUStaging,EEG+EOG,6
shhs1-200514,0.948081255,0.947368443,0.655462205,0.902234614,0.862222195,0.863073742,TinyUStaging,EEG+EOG,6
shhs2-201606,0.848341227,0.822170913,0.104477614,0.758474588,0.697050929,0.646103054,TinyUStaging,EEG+EOG,6
shhs1-203997,0.923076928,0.936046541,0.560000002,0.940322578,0.753623188,0.822613847,TinyUStaging,EEG+EOG,6
shhs1-202253,0.730593622,0.695081949,0.078431375,0.776119411,0.666666687,0.589378609,TinyUStaging,EEG+EOG,6
