epoch,dcsm_val_dice,dcsm_val_loss,dcsm_val_precision,dcsm_val_recall,dcsm_val_sparse_categorical_accuracy,epoch_minutes,loss,phys_val_dice,phys_val_loss,phys_val_precision,phys_val_recall,phys_val_sparse_categorical_accuracy,sedf_sc_val_dice,sedf_sc_val_loss,sedf_sc_val_precision,sedf_sc_val_recall,sedf_sc_val_sparse_categorical_accuracy,shhs_val_dice,shhs_val_loss,shhs_val_precision,shhs_val_recall,shhs_val_sparse_categorical_accuracy,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy,val_f1
0,0.7669,0.9674,0.763,0.772,0.9266,30.0424,0.680399239,0.7752,2.4183,0.7783,0.7776,0.8094,0.7767,0.7836,0.7934,0.7646,0.9403,0.7475,1.7904,0.7253,0.7849,0.8437,0.778051734,0.5007,0.7666,1.4899,0.765,0.7748,0.88,0.769868814
1,0.776,1.042,0.7692,0.7839,0.9194,26.0928,0.664681673,0.7699,2.2469,0.7568,0.7924,0.7567,0.7529,0.7836,0.761,0.748,0.9296,0.719,1.9997,0.7084,0.7462,0.8147,0.780743122,0.9357,0.7544,1.5181,0.7488,0.7676,0.8551,0.758083461
2,0.7921,0.9747,0.7865,0.7985,0.9316,26.5473,0.663763046,0.7572,2.1774,0.7558,0.7696,0.7344,0.7558,0.7836,0.7725,0.7464,0.9309,0.724,1.9384,0.7135,0.7518,0.7624,0.781820893,1.3782,0.7573,1.4685,0.7571,0.7666,0.8398,0.761820385
3,0.7649,1.0974,0.7679,0.763,0.8963,27.4848,0.663776755,0.7436,2.0335,0.7487,0.7508,0.7695,0.7599,0.7836,0.7649,0.7577,0.9319,0.7309,1.6859,0.7204,0.7518,0.7901,0.781762898,1.8364,0.7498,1.4001,0.7505,0.7558,0.847,0.753140676
4,0.7733,1.0671,0.7697,0.7774,0.9189,26.5615,0.651536703,0.7302,2.3075,0.7247,0.7522,0.7368,0.7651,0.7836,0.776,0.7572,0.9353,0.7598,1.9683,0.7478,0.7762,0.8469,0.786395848,2.2792,0.7571,1.5316,0.7546,0.7658,0.8595,0.760158748
5,0.7681,1.0936,0.7654,0.7722,0.9045,28.111,0.652587056,0.7426,2.3505,0.7458,0.7607,0.7752,0.7562,0.7836,0.7637,0.7529,0.9312,0.75,1.8661,0.7398,0.7651,0.8418,0.785574019,2.7478,0.7542,1.5234,0.7537,0.7627,0.8632,0.758173292
6,0.7664,1.0918,0.7598,0.7757,0.8991,30.0312,0.650088072,0.7634,2.1999,0.7639,0.7796,0.7546,0.7677,0.7836,0.7782,0.7602,0.9361,0.7596,1.8501,0.747,0.7755,0.8347,0.787147701,3.2484,0.7643,1.4813,0.7622,0.7728,0.8561,0.767463401
7,0.7717,0.9202,0.7687,0.7766,0.9282,26.4762,0.652212501,0.7274,2.2865,0.7119,0.7629,0.7123,0.7506,0.7836,0.753,0.7518,0.9295,0.7027,1.8798,0.6978,0.712,0.8224,0.785643995,3.6899,0.7381,1.4675,0.7328,0.7508,0.8481,0.741690806
8,0.7725,0.9934,0.7757,0.771,0.9264,25.0464,0.6466313,0.7456,2.146,0.7449,0.7614,0.7776,0.753,0.7836,0.7666,0.7441,0.9324,0.7176,1.8703,0.7102,0.7288,0.798,0.787561595,4.1074,0.7472,1.4483,0.7494,0.7513,0.8586,0.750348797
9,0.7679,1.0884,0.7634,0.7743,0.8934,22.506,0.644904196,0.7645,2.3298,0.7574,0.7826,0.7443,0.7549,0.7836,0.7614,0.7531,0.9287,0.745,1.7827,0.7339,0.7588,0.8422,0.788351417,4.4826,0.7581,1.4961,0.754,0.7672,0.8522,0.760542729
